Date,Open,High,Low,Close,Adj Close,Volume
6-25-2017-4:25:00-0,0.0012,0.0012,0.0012,0.0012,0.0012,0.5
6-25-2017-4:29:00-0,0.00105,0.00105,0.00080033,0.00080033,0.00080033,303.4084922
6-25-2017-4:31:00-0,0.00105,0.00105,0.00105,0.00105,0.00105,200
6-25-2017-4:32:00-0,0.00105,0.00105,0.00105,0.00105,0.00105,67.756736
6-25-2017-4:40:00-0,0.00105,0.00105,0.00105,0.00105,0.00105,200
6-25-2017-5:10:00-0,0.00082,0.00082,0.00082,0.00082,0.00082,206.3619101
6-25-2017-5:16:00-0,0.00083,0.00083,0.00083,0.00083,0.00083,178.7305969
6-25-2017-5:20:00-0,0.00119,0.00119,0.00083006,0.00083006,0.00083006,157.08730029
6-25-2017-5:21:00-0,0.00119999,0.00119999,0.00119999,0.00119999,0.00119999,136.44001825
6-25-2017-5:57:00-0,0.00116376,0.00116376,0.00070075,0.00070075,0.00070075,382.95983709
6-25-2017-7:14:00-0,0.000955,0.000955,0.000955,0.000955,0.000955,42.30440325
6-25-2017-7:16:00-0,0.00095499,0.00095499,0.00095499,0.00095499,0.00095499,25
6-25-2017-7:18:00-0,0.00095499,0.00095499,0.00095499,0.00095499,0.00095499,51.25968028
6-25-2017-7:59:00-0,0.00095499,0.00095499,0.00088873,0.00088873,0.00088873,2315.30044969
6-25-2017-8:10:00-0,0.00092001,0.00093001,0.00092001,0.00093,0.00093,2738.3196005
6-25-2017-8:11:00-0,0.00093,0.00093,0.00093,0.00093,0.00093,14929.95198826
6-25-2017-8:12:00-0,0.00093,0.00093,0.00093,0.00093,0.00093,680.70223305
6-25-2017-8:14:00-0,0.00093,0.00093,0.00093,0.00093,0.00093,228.57635241
6-25-2017-8:15:00-0,0.00093,0.00093,0.00093,0.00093,0.00093,10122.25854977
6-25-2017-8:16:00-0,0.00093,0.00093,0.00093,0.00093,0.00093,35
6-25-2017-8:24:00-0,0.00119995,0.00119999,0.00119995,0.00119999,0.00119999,164.19095437
6-25-2017-8:30:00-0,0.00142998,0.00142998,0.00142998,0.00142998,0.00142998,1.80015693
6-25-2017-8:44:00-0,0.00095399,0.00095399,0.00095399,0.00095399,0.00095399,150
6-25-2017-8:45:00-0,0.00095399,0.00095399,0.00095399,0.00095399,0.00095399,45
6-25-2017-8:46:00-0,0.0009,0.0009,0.0009,0.0009,0.0009,10
6-25-2017-8:53:00-0,0.00095399,0.00095399,0.00095399,0.00095399,0.00095399,1
6-25-2017-8:55:00-0,0.00092,0.00092,0.00092,0.00092,0.00092,4
6-25-2017-8:56:00-0,0.00092,0.00095399,0.00092,0.00095399,0.00095399,500
6-25-2017-9:00:00-0,0.00095399,0.00095399,0.00095399,0.00095399,0.00095399,150
6-25-2017-9:02:00-0,0.000918,0.000918,0.000918,0.000918,0.000918,4
6-25-2017-9:03:00-0,0.00105,0.0012,0.00105,0.0012,0.0012,195
6-25-2017-9:08:00-0,0.00118,0.00118,0.00118,0.00118,0.00118,200
6-25-2017-9:12:00-0,0.000935,0.000935,0.000935,0.000935,0.000935,1109.46244051
6-25-2017-9:13:00-0,0.000935,0.000935,0.00091025,0.00091025,0.00091025,525.42096235
6-25-2017-9:33:00-0,0.00092439,0.00092439,0.00092439,0.00092439,0.00092439,30
6-25-2017-9:51:00-0,0.00091228,0.00091228,0.00091228,0.00091228,0.00091228,394.5273336
6-25-2017-9:52:00-0,0.0009123,0.00091232,0.0009123,0.00091232,0.00091232,84.95201686
6-25-2017-9:53:00-0,0.00091248,0.00091248,0.00091248,0.00091248,0.00091248,1125.77655884
6-25-2017-9:54:00-0,0.00092,0.00092,0.00091251,0.00091251,0.00091251,920.2170747
6-25-2017-9:55:00-0,0.00092,0.00092,0.00092,0.00092,0.00092,25.68309872
6-25-2017-9:56:00-0,0.00092,0.00092,0.00091256,0.00091256,0.00091256,1263.11320125
6-25-2017-9:58:00-0,0.00091998,0.00091998,0.00091998,0.00091998,0.00091998,758.98389095
6-25-2017-10:00:00-0,0.00091995,0.00091998,0.00091995,0.00091998,0.00091998,3371.73291063
6-25-2017-10:01:00-0,0.00091998,0.00091998,0.00091217,0.00091217,0.00091217,4675.22941486
6-25-2017-10:04:00-0,0.00091225,0.00091227,0.00091225,0.00091227,0.00091227,844.34973237
6-25-2017-10:18:00-0,0.00091295,0.00091295,0.00091294,0.00091294,0.00091294,840.36258288
6-25-2017-10:21:00-0,0.00091298,0.00091298,0.00091298,0.00091298,0.00091298,138.61918292
6-25-2017-10:22:00-0,0.00091298,0.00091298,0.00091298,0.00091298,0.00091298,539.40714712
6-25-2017-10:27:00-0,0.00091298,0.00091298,0.00091298,0.00091298,0.00091298,211.11557846
6-25-2017-10:29:00-0,0.00091299,0.00091299,0.00091298,0.00091298,0.00091298,2702.10685742
6-25-2017-10:32:00-0,0.00091299,0.00091299,0.00091298,0.00091298,0.00091298,355.22045772
6-25-2017-10:37:00-0,0.00091298,0.00091298,0.00091298,0.00091298,0.00091298,31.23398094
6-25-2017-10:38:00-0,0.00091298,0.00091298,0.00091298,0.00091298,0.00091298,36.2436164
6-25-2017-10:39:00-0,0.00091298,0.00091298,0.00091298,0.00091298,0.00091298,2445.12146296
6-25-2017-10:40:00-0,0.00091298,0.00091298,0.00091298,0.00091298,0.00091298,609.14220856
6-25-2017-10:41:00-0,0.00091298,0.00091298,0.00091298,0.00091298,0.00091298,5489.16401031
6-25-2017-10:42:00-0,0.00091298,0.00091298,0.00091298,0.00091298,0.00091298,4945.08042537
6-25-2017-10:44:00-0,0.00091298,0.00091298,0.00091118,0.00091118,0.00091118,4346.33520327
6-25-2017-10:45:00-0,0.00091118,0.00091118,0.00091111,0.00091111,0.00091111,217.22991611
